Maskinvare | Minne | Internt lagringssystem (ofte RAM). Lagrer data midlertidig.
Maskinvare | Lagring | Fysiske komponenter som lagrer informasjon paa lang sikt, de forsvinner ikke om strommen blir borte.
Maskinvare | Register | Intern kladdeblokk for CPU'en med rask aksess til innholdet. Integrert paa CPUen, man har som regel faa (32 - 128 stykker)Aksesshastighet: < 1ns - ca. 100 Byte.
Maskinvare | Cache | Hurtig mellomlager for baade instruksjoner og data for aa jevne ut hastighetsforskjellen mellom CPU'en og hurtigminnet. Ligger enten paa (L1) eller i naerheten (L2, L3) av CPU'en. Typiske kapasiteter: L1 - 10KB, L2 - 1 MB, L3 - Flere MB. Aksesshastighet: L1 - ca 1 ns - ca 10 KB, L2 og L3 - 2-10 ns - ca. 1 MB
Maskinvare | RAM | Random Access Memory, minneenhet. Buffer mellom eksternt lagringsmedium og CPU'en med rask lese- og skrive-aksess. Ligger paa hovedkortet i naerheten av CPU'en. Kan vaere opptil flere GB. Aksesshastighet: 20-100 ns - ca. 1GB
Maskinvare | SSD | Hoykapasitetsmediumfor program/data. Ekstern eller intern lagringsenhet i maskinen. Kapasitet opptil flere TB. Aksesshastighet: 100ns-1us - ca 1 TB
Maskinvare | Flash | Hoykapasitetsmediumfor program/data. Ekstern eller intern lagringsenhet i maskinen. Kapasitet opptil flere TB. Aksesshastighet: 100ns-1us - ca 1 TB
Maskinvare | Harddisk | Hoykapasitetsmediumfor program/data. Ekstern eller intern lagringsenhet i maskinen. Sitter med all data paa maskinen, de andre delene av minnet faar bare en kopi. Kapasitet opptil flere TB. Aksesshastighet: 1ms - ca 1 TB
Maskinvare | Koherens | Skrive til minne tar lengere tid enn aa lese fra minne
Maskinvare | Port | En port tar inn 0 eller 1 (x antall), og gir 1 eller 0 ut. Ulike typer porter: OR, NOR, XOR, AND, NAND, XNOR og INV.
Maskinvare | Sannhetsverditabell | Brukt for aa visualisere alle mulige resultater til en funksjon. Kan ha mange funksjonsbeskrivelser, men en funksjon kan bare ha en sannhetsverditabell.
Maskinvare | CPU | Bestaar av en ALU, registre og kontrolllogikk til aa utfore instruksjoner. Kan ogsaa ha cache. Hjernen i maskinen.
Maskinvare | ALU | Aritmetisk logisk enhet (Aritemtic Logical Unit). Gjor aritmetiske og logiske utregninger. Hjertet i maskinen. Et styresignal forteller ALUen hva den skal gjore. ALU kan: Addere bit, gjøre logikk operasjoner som AND, OR, NOT osv. (alle portene) og aritmetiske operasjoner som DIV, SUB
Maskinvare | Aritmetisk Utregning | Pluss / Minus
Maskinvare | Logisk Operasjoner | Operasjoner paa enkeltbit som forer til 0 eller 1, True eller False
Maskinvare | Utregning | Se "Logisk Utregning"
Maskinvare | Minnehierarki | 1. Flip-flop (ikke pensum) 2. Register 3. Cache 4. RAM 5. SSD/Flash/Harddisk
Maskinvare | BUS | Kommunikasjonskanal som kobler sammen ulike enherere (registre, ALU, minne og I/O enheter). Flere enheter kan dele en BUS, men det er bare en som kan sende om gangen. Internt i CPUen er det en eller flere BUS(er) som overforer data mellom interne registre.
Maskinvare | Pipeline | Samlebaandsprinsipp. CPUen utforer flere instuksjoner samtidig. Dette er mulig dersom instruksjonen kan deles opp i uavhengige deler. Hver enkelt instruksjon tar like lang tid aa utfore som for, men totalen blir mindre. Delene instruksjonen blir delt opp i: 1. Fetch (henter instruksjonen) 2. Decode (Dekoder instruksjonen) 3. Execute (Utforer instruksjonen) 4. Writeback (Skrive resultatet til minnet). Utfordringer, se "Hazards".
Maskinvare | Hazards | Grunnen til at pipeline ikke blir fire ganger saa raskt som uten. --- Resource hazard: To subinstruksjoner i pipelinen onsker aa aksessere samme russurs, for eksempel minnet. (en maa vente). --- Data hazard: To forksjellige intruksjoner trenger aa aksessere samme data samtidig (den ene skal skrive til minnet, samtidig som at den andre skal hente noe i samme celle) --- Control hazard: Hvis vi faar en jump insturksjon maa vi tomme pipelinen for de neste instruksjonene (LMC, branch if zero).
Nettverk | Tjener | Stor datamaskin som kjorer tjenester man bruker over internett. Kjennetegnes av en kraftig prosessor, mye lagring og mye minne.
Nettverk | DHCP | Det den hovedsakelig skal gjore er aa dele ut IP adresser naar en enhet kobler seg til nettet og hente IP adresser naar en enhet har koblet seg av nettet. Ruteren kjorer en DHCP-server.
Nettverk | NAT | Man kan bruke private IP adresser for organisasjoner eller hjemmerutere. Slik at den IP adressen du har ikke blir brukt paa nettet, men den blir «gjemt bak» ruteren. Dvs.at uansett hvor mange enheter du har koblet til i subnettet ditt hjemme, saa vil de ha en felles IP adresse ut i nettet, men naar pakken kommer tilbake vil ruteren rute tilbake pakken til den private IP adressen som sendte foresporselen.
Nettverk | DNS | Oversetter fra menneskelige domenenavn til IP-adresser. For eksempel fra www.amazon.com til 192.0.2.44. Denne protokollen gjor det lettere for mennesker, siden vi da slipper aa huske mange IP-adresser, men heller kan huske domenenavn. Mer? Se Rottjener
Nettverk | Rottjener | Tar vare paa en liste over DNS-tjenerene til Top Level Domains (TLD).
Nettverk | TLD | Top Level Domains, ".com", ".no". Under dette deles ut DNS adresser, for eksempel "facebook". Da har rottjeneren .com, et underdomene som heter facebook, og som kan naaes paa "facebook.com". Facebook kan igjen ha underdomener "login.facebook.com"
Nettverk | ARP | Protokoll som brukes for aa koble sammen IP adresser paa nettverkslaget med MAC adresser paa linklaget. Paa et subnett kan en maskin kontakte en annen maskin ved aa sende en ARP foresporsel med IP adressen til mottakermaskinen. Denne maskinen vil svare med sin MAC adresse. Sendermaskinen vil saa bruke den MAC adressen til aa kontakte mottakermaskinen og sende meldingen.
Sikkerhet | Kryptering | Se "Asymmetrisk Kryptering", "Symmetrisk kryptering" eller "Hash-algoritmer"
Sikkerhet | Asymmetrisk Kryptering | Eier har en privat nokkel, offentlig nokkel kan bli gitt til alle. Privat nokkel kan dekryptere data kryptert med offentlig nokkel. Offentlig nokker kan dekryptere data kryptert med den private nokkelen. --- Meldingsutveksling: Konfidensialitet: Ja, Integritet: Ja, Autentisering av dataopprinnelse: Nei (Du vet ikke hvem som krypterte innholdet med den offentlige nokkelen), Uavviselighet: Nei (samme begrunnelse) --- Digital signering: Konfidensialitet: Nei (Alle kan dekryptere meldingen sendt fra Eier), integritet: Ja, Autentisering av dataoppinnelse: Ja, Uavviselighet: Ja, Farer: Nokkelen kan komme paa avveie og andre kan utgi seg for aa vaere Eier eller noen kan ha en falsk nokkel
Sikkerhet | Symmetrisk Kryptering | Eier har en nokkel som kan kryptere og dekryptere data. De han skal dele data med faar en kopi av nokkelen. --- Konfidensialitet: Ja, Integritet: Ja, Autentisering av dataopprinnelse: Ja, Uavviselighet: Nei (Den ene parten kan legge inn informasjon og paastaa at den andre la det inn), Farer: Nokkel paa avveie, eller dersom nokkelen blir tapt vil innholdet vaere kryptert for alltid.
Sikkerhet | Hash-Algoritmer | Enveis-kryptering (Usikker), brukes til aa lage checksum
Sikkerhet | Privat Nokkel | En nokkel som kun eier har. Den maa holdes hemmelig. Bruk av denne er blant annet Bank-ID, og digitale signaturer
